Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"03/04/2024 10:48:14",37.6789,38.0394,13.9,0.54,"MW",4.5,"Doğanşehir (Malatya)",624739
"02/04/2024 16:33:41",27.7072,36.4394,7,0.71,"ML",4.1,"Ege Denizi - [31.54 km] Datça (Muğla)",624667
"31/03/2024 13:38:06",28.0261,34.1069,15,0.929,"MW",4.2,"Akdeniz - [267.87 km] Kaş (Antalya)",624436
"30/03/2024 17:31:49",43.2739,42.5017,13.01,0.54,"MW",4,"Oni, Racha-Lechkhumi-Kvemo Svaneti (Gürcistan) - [108.95 km] Posof (Ardahan)",624337
"30/03/2024 16:44:37",43.4853,42.5006,7.61,0.76,"MW",4.6,"Oni, Racha-Lechkhumi-Kvemo Svaneti (Gürcistan) - [116.05 km] Posof (Ardahan)",624332
"30/03/2024 03:25:04",39.3592,38.5044,13.83,0.43,"MW",4.7,"Merkez (Elazığ)",624287
"25/03/2024 13:10:46",36.2506,37.8519,7.02,0.67,"MW",4,"Saimbeyli (Adana)",623858
"25/03/2024 05:04:43",29.0242,37.035,7.09,0.56,"MW",4,"Köyceğiz (Muğla)",623816
"23/03/2024 07:56:51",27.6089,35.1922,15.92,0.77,"MW",4.3,"Akdeniz - [166.00 km] Marmaris (Muğla)",623686
"21/03/2024 22:20:41",28.7756,39.64,7.7,0.3,"MW",4,"Dursunbey (Balıkesir)",623511
"20/03/2024 08:55:42",36.9886,37.4856,5.13,0.28,"MW",4,"Dulkadiroğlu (Kahramanmaraş)",623342
"12/03/2024 03:27:59",45.6725,34.4083,10.2,0.359,"MW",4.2,"Gilan-e-Gharb, Kermanshah (İran)",622562
"11/03/2024 03:10:17",36.3664,41.4881,18.27,0.48,"MW",4,"Karadeniz - Samsun Körfezi - [17.48 km] Atakum (Samsun)",622460
"10/03/2024 16:55:57",30.1111,36.0925,35.12,0.19,"MW",4.7,"Akdeniz - [19.08 km] Demre (Antalya)",622407
"08/03/2024 07:27:12",28.4006,36.3425,36.05,0.32,"MW",4.4,"Akdeniz - [41.39 km] Marmaris (Muğla)",622215
"05/03/2024 16:17:51",27.4258,35.4578,12.74,0.81,"MW",4,"Akdeniz - [137.23 km] Datça (Muğla)",621942
"05/03/2024 10:15:45",36.0386,36.15,6.04,0.41,"MW",4,"Samandağ (Hatay)",621903
"04/03/2024 21:38:55",27.4278,39.9942,13.32,0.47,"ML",4.9,"Yenice (Çanakkale)",621857
"04/03/2024 11:26:04",37.4081,38.2089,7,0.69,"MW",4.4,"Elbistan (Kahramanmaraş)",621789
"03/03/2024 17:43:55",37.6497,38.0608,12.68,0.47,"MW",4.4,"Doğanşehir (Malatya)",621707
"01/03/2024 17:09:54",37.1389,37.2908,7,0.71,"MW",4.1,"Pazarcık (Kahramanmaraş)",621481
"27/02/2024 16:09:53",27.0183,40.2903,7,0.48,"MW",4.6,"Biga (Çanakkale)",621197
"25/02/2024 01:59:01",25.5594,38.7364,7.44,0.83,"MW",4.2,"Ege Denizi - [73.48 km] Karaburun (İzmir)",620913
"23/02/2024 15:14:32",29.1608,40.4181,10.86,0.44,"MW",4.1,"Gemlik (Bursa)",620807
"19/02/2024 12:23:21",37.8128,38.0933,17.7,0.69,"MW",4.3,"Doğanşehir (Malatya)",620281
"19/02/2024 04:25:39",27.6006,35.1372,11.3,0.67,"MW",4.3,"Akdeniz - [172.09 km] Marmaris (Muğla)",620250
"16/02/2024 06:54:07",37.8003,38.2728,8.09,0.33,"MW",4.1,"Akçadağ (Malatya)",619914
"14/02/2024 11:56:44",36.0644,35.7342,13.9,0.47,"MW",4.2,"Lazkiye (Suriye) - [15.38 km] Yayladağı (Hatay)",619665
"11/02/2024 07:36:29",43.9894,37.4019,5.74,0.23,"ML",4.4,"Yüksekova (Hakkari)",619292
"11/02/2024 03:16:50",23.0036,35.2031,5.13,0.78,"MW",4.1,"Akdeniz",619275
"03/02/2024 06:09:26",43.9789,37.3294,7,0.18,"MW",4.3,"Yüksekova (Hakkari)",618402
"27/01/2024 08:19:19",27.1306,37.9669,8.51,0.38,"MW",5.1,"Ege Denizi - Kuşadası Körfezi - [05.42 km] Menderes (İzmir)",617563
"26/01/2024 01:01:49",36.1428,37.8542,12.56,0.62,"MW",4.4,"Saimbeyli (Adana)",617366
"25/01/2024 16:04:04",38.4589,38.1989,13.88,0.38,"MW",5.2,"Battalgazi (Malatya)",617302
"23/01/2024 23:04:43",30.9206,35.8583,38.82,0.48,"MW",4.1,"Akdeniz - [68.39 km] Kumluca (Antalya)",617109
